	GC-pop-S1_0	GC-pop-S2_0	GC-pop-S3_0	invitro-pop-S1_0	invitro-pop-S2_0	invitro-pop-S3_0	invivo-pop-S1_0	invivo-pop-S2_0	invivo-pop-S3_0	NAIVE-pop-S1_0	NAIVE-pop-S2_0	NAIVE-pop-S3_0
C1orf52	2.92116513511901	2.92116513511901	1.91201534883867	3.87225496903037	3.86661459989005	2.87732634409022	2.1970718423639	4.2953883596332	3.20965001532237	2.30295402866753	2.81270449176716	2.90037817646403
NCRNA00219	1.2539361300827	2.17374472129307	1.26851705604071	2.30295402866753	1.26851705604071	3.02431903998484	3.20965001532237	3.569662681857	2.87732634409022	1.24603739843614	2.30295402866753	1.26851705604071
C19orf70	4.22342148922026	4.18311603037474	3.48759949433808	4.6609218415034	4.59042861966041	4.84302614334397	4.18311603037474	4.2953883596332	4.52922629613562	4.4975434145389	3.72869711091662	4.3991721489758
C14orf169	1.2539361300827	2.66209841614383	1.91201534883867	2.92116513511901	1.91201534883867	2.62563333242514	2.1970718423639	1.63777263072262	2.13860365812969	1.30831046809148	1.58928020130354	1.73705713687184
C5orf42	1.65831974556078	2.92116513511901	1.26851705604071	1.54463786572586	1.91201534883867	2.62563333242514	1.30831046809148	1.63777263072262	1.24603739843614	2.13860365812969	2.81270449176716	1.73705713687184
C9orf41	3.11152031972586	1.65831974556078	2.87732634409022	2.30295402866753	3.18118094493278	3.48759949433808	3.20965001532237	4.52922629613562	3.20965001532237	2.13860365812969	3.42524560316009	2.90037817646403
C12orf49	2.17374472129307	1.24603739843614	2.37457388479925	1.77426711732946	1.91201534883867	2.1970718423639	2.87732634409022	1.63777263072262	2.50937811950592	3.07266254103253	2.02594977329521	2.50937811950592
C22orf39	4.06368001260598	4.05848791108005	3.07266254103253	4.3991721489758	3.86661459989005	4.67189649942479	3.77478526812145	3.99440750800946	3.69154798370386	3.48759949433808	2.94915634846485	4.28157977010661
KIAA1279	1.2539361300827	1.65831974556078	2.13860365812969	1.24603739843614	1.26851705604071	1.26851705604071	1.30831046809148	1.63777263072262	2.50937811950592	1.65831974556078	2.30295402866753	2.50937811950592
KIAA2013	2.92116513511901	2.92116513511901	3.48759949433808	2.92116513511901	3.18118094493278	2.87732634409022	3.99440750800946	1.63777263072262	2.50937811950592	3.69154798370386	2.94915634846485	4.1724618042575
LOC401397	3.66470076631186	3.54293875607366	4.03004519446675	3.87225496903037	3.42524560316009	3.87225496903037	4.18311603037474	3.99440750800946	4.52922629613562	3.69154798370386	3.72869711091662	3.07266254103253
